HomeTeam,AwayTeam,HomeGoal,AwayGoal,HomeShot,AwayShot,HomeShotOnTarget,AwayShotOnTarget,GoalDifference,Result,HomeShotQuality,AwayShotQuality,HomeShotConversion,AwayShotConversion
Crystal Palace,Chelsea,2,3,13.0,14.0,4.0,6.0,-1,Away Wins,30.76923076923077,42.85714285714285,15.384615384615383,21.428571428571427
Watford,Norwich,2,1,9.0,12.0,4.0,3.0,1,Home Wins,44.44444444444444,25.0,22.22222222222222,8.333333333333332
Arsenal,Leicester,1,1,11.0,13.0,7.0,5.0,0,Draw,63.63636363636363,38.46153846153847,9.090909090909092,7.6923076923076925
Man City,Newcastle,5,0,23.0,6.0,9.0,1.0,5,Home Wins,39.130434782608695,16.666666666666664,21.73913043478261,0.0
Sheffield United,Wolves,1,0,7.0,6.0,3.0,1.0,1,Home Wins,42.85714285714285,16.666666666666664,14.285714285714285,0.0
West Ham,Burnley,0,1,21.0,8.0,5.0,4.0,-1,Away Wins,23.809523809523807,50.0,0.0,12.5
Brighton,Liverpool,1,3,12.0,19.0,2.0,8.0,-2,Away Wins,16.666666666666664,42.10526315789473,8.333333333333332,15.789473684210526
Bournemouth,Tottenham,0,0,9.0,9.0,2.0,0.0,0,Draw,22.22222222222222,0.0,0.0,0.0
Everton,Southampton,1,1,11.0,17.0,4.0,4.0,0,Draw,36.36363636363637,23.52941176470588,9.090909090909092,5.88235294117647
Aston Villa,Man United,0,3,9.0,14.0,1.0,6.0,-3,Away Wins,11.11111111111111,42.85714285714285,0.0,21.428571428571427
Norwich,West Ham,0,4,11.0,19.0,2.0,7.0,-4,Away Wins,18.181818181818183,36.84210526315789,0.0,21.052631578947366
Watford,Newcastle,2,1,17.0,8.0,5.0,4.0,1,Home Wins,29.411764705882355,50.0,11.76470588235294,12.5
Liverpool,Burnley,1,1,23.0,6.0,9.0,2.0,0,Draw,39.130434782608695,33.33333333333333,4.3478260869565215,16.666666666666664
Sheffield United,Chelsea,3,0,9.0,15.0,4.0,4.0,3,Home Wins,44.44444444444444,26.666666666666668,33.33333333333333,0.0
Brighton,Man City,0,5,3.0,26.0,0.0,8.0,-5,Away Wins,0.0,30.76923076923077,0.0,19.230769230769237
Wolves,Everton,3,0,14.0,6.0,7.0,2.0,3,Home Wins,50.0,33.33333333333333,21.428571428571427,0.0
Aston Villa,Crystal Palace,2,0,12.0,9.0,9.0,5.0,2,Home Wins,75.0,55.55555555555556,16.666666666666664,0.0
Tottenham,Arsenal,2,1,15.0,13.0,9.0,4.0,1,Home Wins,60.0,30.76923076923077,13.333333333333334,7.6923076923076925
Bournemouth,Leicester,4,1,10.0,13.0,4.0,5.0,3,Home Wins,40.0,38.46153846153847,40.0,7.6923076923076925
Man United,Southampton,2,2,8.0,9.0,4.0,5.0,0,Draw,50.0,55.55555555555556,25.0,22.22222222222222
Chelsea,Norwich,1,0,22.0,2.0,6.0,0.0,1,Home Wins,27.27272727272727,0.0,4.545454545454546,0.0
Burnley,Wolves,1,1,9.0,14.0,1.0,5.0,0,Draw,11.11111111111111,35.714285714285715,11.11111111111111,7.142857142857142
Man City,Bournemouth,2,1,8.0,15.0,4.0,3.0,1,Home Wins,50.0,20.0,25.0,6.666666666666667
Newcastle,Tottenham,1,3,22.0,8.0,6.0,5.0,-2,Away Wins,27.27272727272727,62.5,4.545454545454546,37.5
Arsenal,Liverpool,2,1,3.0,24.0,2.0,8.0,1,Home Wins,66.66666666666666,33.33333333333333,66.66666666666666,4.166666666666666
Everton,Aston Villa,1,1,9.0,15.0,1.0,1.0,0,Draw,11.11111111111111,6.666666666666667,11.11111111111111,6.666666666666667
Leicester,Sheffield United,2,0,15.0,5.0,7.0,1.0,2,Home Wins,46.66666666666666,20.0,13.333333333333334,0.0
Crystal Palace,Man United,0,2,13.0,17.0,5.0,5.0,-2,Away Wins,38.46153846153847,29.411764705882355,0.0,11.76470588235294
Southampton,Brighton,1,1,21.0,10.0,6.0,2.0,0,Draw,28.57142857142857,20.0,4.761904761904762,10.0
West Ham,Watford,3,1,10.0,14.0,4.0,3.0,2,Home Wins,40.0,21.428571428571427,30.0,7.142857142857142
Norwich,Burnley,0,2,6.0,23.0,2.0,8.0,-2,Away Wins,33.33333333333333,34.78260869565217,0.0,8.695652173913043
Bournemouth,Southampton,0,2,11.0,16.0,3.0,8.0,-2,Away Wins,27.27272727272727,50.0,0.0,12.5
Tottenham,Leicester,3,0,7.0,24.0,3.0,6.0,3,Home Wins,42.85714285714285,25.0,42.85714285714285,0.0
Brighton,Newcastle,0,0,11.0,12.0,3.0,1.0,0,Draw,27.27272727272727,8.333333333333332,0.0,0.0
Sheffield United,Everton,0,1,8.0,5.0,0.0,2.0,-1,Away Wins,0.0,40.0,0.0,20.0
Wolves,Crystal Palace,2,0,11.0,7.0,5.0,3.0,2,Home Wins,45.45454545454545,42.85714285714285,18.181818181818183,0.0
